10;-;W001;AUTO;0
81;-;W002;PERIFERIA;2000
82;-;W003;CENTRO STORICO;2000
83;-;W004;COMPLETO;3000
84;-;W005;RESIDENTI PERIFERIA;1000
85;-;W006;RESIDENTI C.STORICO;1500
86;-;W007;RESIDENTI COMPLETO;2000
60;-;W008;PENALE;1200
87;-;W009;ANN PERIFERIA R.;8000
88;-;W010;ANN C.STORICO R.;12000
89;-;W011;ANN. COMPLETO R.;16000
90;-;W012;ANN PERIFERIA;12000
91;-;W013;ANN C.STORICO;18000
92;-;W014;ANN. COMPLETO;24000

